function_l1,function_l2,department,sub_department,vendor,amount_2018
COGS,Cost of Product,Cloud Operations,External Contractors,,192210
COGS,Cost of Product,Cloud Operations,External Contractors,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,204125
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,51222
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,306968
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,117932
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,9460
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,5913
COGS,Cost of Product,Cloud Operations,Hosting,,16125
COGS,Cost of Product,Cloud Operations,Hosting,,21229
COGS,Cost of Product,Cloud Operations,Hosting,,11933
COGS,Cost of Product,Cloud Operations,Occupancy,,24424
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Outsourced Services,,3698
COGS,Cost of Product,Cloud Operations,Personnel,,542
COGS,Cost of Product,Cloud Operations,Personnel,,774
COGS,Cost of Product,Cloud Operations,Personnel,,688
COGS,Cost of Product,Cloud Operations,Personnel,,8222
COGS,Cost of Product,Cloud Operations,Personnel,,512
COGS,Cost of Product,Cloud Operations,Personnel,,10002
COGS,Cost of Product,Cloud Operations,Personnel,,1720
COGS,Cost of Product,Cloud Operations,Personnel,,572
COGS,Cost of Product,Cloud Operations,Personnel,,1045
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Customer Success,Bonus,,0
COGS,Cost of Product,Customer Success,Bonus,,7418
COGS,Cost of Product,Customer Success,Bonus,,-16125
