item,amount_2018
Revenue,79194484
Recurring,68584167
PSO,9307488
Perpetual,1302828
HC Expense (W2),30544906
Non HC Expense (COGS),14461558
Non HC Expense (OPEX),27170630
Non HC Expense - TOTAL,41632187
Expense,72177093
Margin,7017391
Margin %,9
Expense Breakdown,0
Cost of Product,18139887
CloudOps,9986932
Cost of PSO,7072601
G&A,15772901
R&D,17285457
S&M,13906248
Total Expenses,72177093
Employee Expense Breakdown,0
Cost of Product,6553936
CloudOps,1638921
Cost of PSO,4196993
G&A,6514517
R&D,9023520
S&M,4255940
Total,30544906
Non Employee (COGS) Breakdown,0
Cost of Product,11585950
CloudOps,8348011
Cost of PSO,2875608
G&A,9258384
R&D,8261937
S&M,9650308
Total,41632187
Expense Check,0
HC Check,0
NHC Check,0
