tier,type,customer_name,amount_2018
Revenue,PSO,,370765
Revenue,PSO,,370351
Revenue,PSO,,181314
Revenue,PSO,,136247
Revenue,PSO,,71231
Revenue,PSO,,40747
Revenue,PSO,,33120
Revenue,PSO,,17006
Revenue,PSO,,16100
Revenue,PSO,,0
Revenue,PSO,,0
Revenue,PSO,,-25622
Revenue,PSO,,61479
Revenue,PSO,,16321
Revenue,PSO,,12195
Revenue,PSO,,8551
Revenue,PSO,,149753
Revenue,PSO,,108716
Revenue,PSO,,104967
Revenue,PSO,,103072
Revenue,PSO,,66631
Revenue,PSO,,62528
Revenue,PSO,,55665
Revenue,PSO,,55292
Revenue,PSO,,42389
Revenue,PSO,,39785
Revenue,PSO,,32918
Revenue,PSO,,31547
Revenue,PSO,,22526
Revenue,PSO,,15511
Revenue,PSO,,13349
Revenue,PSO,,10764
Revenue,PSO,,10221
Revenue,PSO,,10194
Revenue,PSO,,10065
Revenue,PSO,,9554
Revenue,PSO,,9209
Revenue,PSO,,8409
Revenue,PSO,,6132
Revenue,PSO,,6104
Revenue,PSO,,4545
Revenue,PSO,,3501
Revenue,PSO,,3215
Revenue,PSO,,2999
Revenue,PSO,,0
Revenue,PSO,,124660
Revenue,PSO,,115865
Revenue,PSO,,103500
Revenue,PSO,,88734
Revenue,PSO,,67818
Revenue,PSO,,64768
Revenue,PSO,,64400
Revenue,PSO,,60536
Revenue,PSO,,56350
Revenue,PSO,,55200
Revenue,PSO,,39799
Revenue,PSO,,36791
Revenue,PSO,,36115
Revenue,PSO,,31280
Revenue,PSO,,29900
Revenue,PSO,,26220
Revenue,PSO,,18630
Revenue,PSO,,17664
Revenue,PSO,,14950
Revenue,PSO,,14232
Revenue,PSO,,12650
Revenue,PSO,,12305
Revenue,PSO,,9490
Revenue,PSO,,6468
Revenue,PSO,,6440
Revenue,PSO,,6389
Revenue,PSO,,5465
Revenue,PSO,,2530
Revenue,PSO,,2300
Revenue,PSO,,2300
Revenue,PSO,,1840
Revenue,PSO,,1150
Revenue,PSO,,745
Revenue,PSO,,690
Revenue,PSO,,460
Revenue,PSO,,460
Revenue,PSO,,373
Revenue,PSO,,0
Revenue,PSO,,162026
Revenue,PSO,,77372
Revenue,PSO,,70674
Revenue,PSO,,50559
Revenue,PSO,,48645
Revenue,PSO,,25760
Revenue,PSO,,19683
Revenue,PSO,,19242
Revenue,PSO,,17434
Revenue,PSO,,16008
Revenue,PSO,,15180
Revenue,PSO,,12006
Revenue,PSO,,10189
Revenue,PSO,,9936
Revenue,PSO,,8855
Revenue,PSO,,8855
Revenue,PSO,,8280
Revenue,PSO,,7972
Revenue,PSO,,7475
Revenue,PSO,,6192
Revenue,PSO,,6113
Revenue,PSO,,5837
Revenue,PSO,,5635
Revenue,PSO,,5336
Revenue,PSO,,4968
Revenue,PSO,,4871
Revenue,PSO,,4871
Revenue,PSO,,4669
Revenue,PSO,,3721
Revenue,PSO,,3335
Revenue,PSO,,3335
Revenue,PSO,,3289
Revenue,PSO,,3220
Revenue,PSO,,3004
Revenue,PSO,,3004
Revenue,PSO,,2535
Revenue,PSO,,2502
Revenue,PSO,,2001
Revenue,PSO,,2001
Revenue,PSO,,1881
Revenue,PSO,,1610
Revenue,PSO,,1610
Revenue,PSO,,1380
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1334
Revenue,PSO,,1288
Revenue,PSO,,1242
Revenue,PSO,,920
Revenue,PSO,,920
Revenue,PSO,,704
Revenue,PSO,,704
Revenue,PSO,,667
Revenue,PSO,,667
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,501
Revenue,PSO,,460
Revenue,PSO,,460
Revenue,PSO,,460
Revenue,PSO,,460
Revenue,PSO,,460
Revenue,PSO,,428
Revenue,PSO,,400
Revenue,PSO,,373
Revenue,PSO,,331
Revenue,PSO,,317
Revenue,PSO,,290
Revenue,PSO,,271
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,253
Revenue,PSO,,193
Revenue,PSO,,189
Revenue,PSO,,161
Revenue,PSO,,156
Revenue,PSO,,156
Revenue,PSO,,156
Revenue,PSO,,156
Revenue,PSO,,156
Revenue,PSO,,97
Revenue,PSO,,23
Revenue,PSO,,5
Revenue,PSO,,5
Revenue,PSO,,5
Revenue,PSO,,0
Revenue,PSO,,0
Revenue,PSO,,14950
Revenue,PSO,,11500
Revenue,PSO,,11500
Revenue,PSO,,11500
Revenue,PSO,,11500
Revenue,PSO,,11500
Revenue,PSO,,11500
Revenue,PSO,,11500
Revenue,PSO,,0
Revenue,PSO,,542556
Revenue,PSO,,296760
Revenue,PSO,,212837
Revenue,PSO,,135309
Revenue,PSO,,127779
Revenue,PSO,,103610
Revenue,PSO,,77970
Revenue,PSO,,68462
Revenue,PSO,,65384
Revenue,PSO,,59340
Revenue,PSO,,54740
Revenue,PSO,,46920
Revenue,PSO,,43470
Revenue,PSO,,42633
Revenue,PSO,,35650
Revenue,PSO,,33120
Revenue,PSO,,28175
Revenue,PSO,,26450
Revenue,PSO,,23000
Revenue,PSO,,22292
Revenue,PSO,,12020
