tier,type,customer_name,amount_2018
Tier,Type,Customer Name,2018
Revenue,Recurring,,782393
Revenue,Recurring,,656253
Revenue,Recurring,,563175
Revenue,Recurring,,413586
Revenue,Recurring,,378428
Revenue,Recurring,,339593
Revenue,Recurring,,322601
Revenue,Recurring,,309375
Revenue,Recurring,,290682
Revenue,Recurring,,217877
Revenue,Recurring,,193230
Revenue,Recurring,,176945
Revenue,Recurring,,165821
Revenue,Recurring,,148280
Revenue,Recurring,,141741
Revenue,Recurring,,133943
Revenue,Recurring,,133299
Revenue,Recurring,,121163
Revenue,Recurring,,113589
Revenue,Recurring,,107717
Revenue,Recurring,,104414
Revenue,Recurring,,101750
Revenue,Recurring,,97326
Revenue,Recurring,,96935
Revenue,Recurring,,95850
Revenue,Recurring,,95153
Revenue,Recurring,,94631
Revenue,Recurring,,89771
Revenue,Recurring,,89276
Revenue,Recurring,,88398
Revenue,Recurring,,83826
Revenue,Recurring,,82620
Revenue,Recurring,,82562
Revenue,Recurring,,78629
Revenue,Recurring,,77720
Revenue,Recurring,,76725
Revenue,Recurring,,71681
Revenue,Recurring,,66015
Revenue,Recurring,,65813
Revenue,Recurring,,62811
Revenue,Recurring,,60570
Revenue,Recurring,,59063
Revenue,Recurring,,56543
Revenue,Recurring,,54198
Revenue,Recurring,,45356
Revenue,Recurring,,44280
Revenue,Recurring,,44136
Revenue,Recurring,,40500
Revenue,Recurring,,39060
Revenue,Recurring,,17550
Revenue,Recurring,,12380
Revenue,Recurring,,9621
Revenue,Recurring,,9171
Revenue,Recurring,,6975
Revenue,Recurring,,3600
Revenue,Recurring,,225
Revenue,Recurring,,0
Revenue,Recurring,,1320066
Revenue,Recurring,,718200
Revenue,Recurring,,448875
Revenue,Recurring,,340875
Revenue,Recurring,,313313
Revenue,Recurring,,270000
Revenue,Recurring,,270000
Revenue,Recurring,,247500
Revenue,Recurring,,243423
Revenue,Recurring,,222300
Revenue,Recurring,,208238
Revenue,Recurring,,202500
Revenue,Recurring,,195750
Revenue,Recurring,,187713
Revenue,Recurring,,178394
Revenue,Recurring,,177390
Revenue,Recurring,,170595
Revenue,Recurring,,168750
Revenue,Recurring,,168750
Revenue,Recurring,,103950
Revenue,Recurring,,94500
Revenue,Recurring,,83700
Revenue,Recurring,,21263
Revenue,Recurring,,10800
Revenue,Recurring,,0
Revenue,Recurring,,154058
Revenue,Recurring,,127994
Revenue,Recurring,,111830
Revenue,Recurring,,101628
Revenue,Recurring,,85275
Revenue,Recurring,,80388
Revenue,Recurring,,78993
Revenue,Recurring,,78678
Revenue,Recurring,,78147
Revenue,Recurring,,70664
Revenue,Recurring,,55580
Revenue,Recurring,,54675
Revenue,Recurring,,50171
Revenue,Recurring,,49041
Revenue,Recurring,,47655
Revenue,Recurring,,45774
Revenue,Recurring,,45185
Revenue,Recurring,,43250
Revenue,Recurring,,41963
Revenue,Recurring,,41486
Revenue,Recurring,,40716
Revenue,Recurring,,40001
Revenue,Recurring,,39987
Revenue,Recurring,,38493
Revenue,Recurring,,37269
Revenue,Recurring,,36896
Revenue,Recurring,,36734
Revenue,Recurring,,34655
Revenue,Recurring,,34047
Revenue,Recurring,,33980
Revenue,Recurring,,32778
Revenue,Recurring,,32103
Revenue,Recurring,,31662
Revenue,Recurring,,31640
Revenue,Recurring,,30785
Revenue,Recurring,,30699
Revenue,Recurring,,30695
Revenue,Recurring,,30317
Revenue,Recurring,,30249
Revenue,Recurring,,30011
Revenue,Recurring,,29376
Revenue,Recurring,,28922
Revenue,Recurring,,27900
Revenue,Recurring,,26370
Revenue,Recurring,,25650
Revenue,Recurring,,25646
Revenue,Recurring,,25565
Revenue,Recurring,,25448
Revenue,Recurring,,25259
Revenue,Recurring,,25187
Revenue,Recurring,,24966
Revenue,Recurring,,24885
Revenue,Recurring,,24701
Revenue,Recurring,,24458
Revenue,Recurring,,24251
Revenue,Recurring,,23828
Revenue,Recurring,,23774
Revenue,Recurring,,23724
Revenue,Recurring,,22946
Revenue,Recurring,,22914
Revenue,Recurring,,22833
Revenue,Recurring,,22541
Revenue,Recurring,,22352
Revenue,Recurring,,21753
Revenue,Recurring,,21605
Revenue,Recurring,,21542
Revenue,Recurring,,21528
Revenue,Recurring,,21411
Revenue,Recurring,,21326
Revenue,Recurring,,21038
Revenue,Recurring,,20840
Revenue,Recurring,,20705
Revenue,Recurring,,20619
Revenue,Recurring,,20336
Revenue,Recurring,,20084
Revenue,Recurring,,19967
Revenue,Recurring,,19818
Revenue,Recurring,,19782
Revenue,Recurring,,19436
Revenue,Recurring,,19049
Revenue,Recurring,,19040
Revenue,Recurring,,19026
Revenue,Recurring,,18918
Revenue,Recurring,,18810
Revenue,Recurring,,18774
Revenue,Recurring,,18027
Revenue,Recurring,,17960
Revenue,Recurring,,17924
Revenue,Recurring,,17874
Revenue,Recurring,,17771
Revenue,Recurring,,17640
Revenue,Recurring,,17379
Revenue,Recurring,,17357
Revenue,Recurring,,17127
Revenue,Recurring,,16925
Revenue,Recurring,,16916
Revenue,Recurring,,16745
Revenue,Recurring,,16272
Revenue,Recurring,,15858
Revenue,Recurring,,15521
Revenue,Recurring,,15494
Revenue,Recurring,,14747
Revenue,Recurring,,14517
Revenue,Recurring,,14274
Revenue,Recurring,,14139
Revenue,Recurring,,14108
Revenue,Recurring,,14085
Revenue,Recurring,,13829
Revenue,Recurring,,13766
Revenue,Recurring,,13158
Revenue,Recurring,,13145
Revenue,Recurring,,12974
Revenue,Recurring,,12708
Revenue,Recurring,,12326
Revenue,Recurring,,12272
Revenue,Recurring,,12150
Revenue,Recurring,,12069
Revenue,Recurring,,11903
Revenue,Recurring,,11853
Revenue,Recurring,,11790
Revenue,Recurring,,11579
Revenue,Recurring,,11552
Revenue,Recurring,,11408
Revenue,Recurring,,11291
Revenue,Recurring,,11259
Revenue,Recurring,,11102
Revenue,Recurring,,10976
Revenue,Recurring,,10854
Revenue,Recurring,,10656
Revenue,Recurring,,10481
Revenue,Recurring,,10283
Revenue,Recurring,,10179
Revenue,Recurring,,10103
Revenue,Recurring,,10098
Revenue,Recurring,,10094
Revenue,Recurring,,10013
Revenue,Recurring,,9747
Revenue,Recurring,,9320
Revenue,Recurring,,9288
Revenue,Recurring,,9266
Revenue,Recurring,,9068
Revenue,Recurring,,8883
Revenue,Recurring,,8352
Revenue,Recurring,,8285
Revenue,Recurring,,8285
Revenue,Recurring,,8154
Revenue,Recurring,,7916
Revenue,Recurring,,7866
Revenue,Recurring,,7047
Revenue,Recurring,,6638
Revenue,Recurring,,6332
Revenue,Recurring,,6008
Revenue,Recurring,,5769
Revenue,Recurring,,5193
Revenue,Recurring,,4590
Revenue,Recurring,,4446
Revenue,Recurring,,4208
